,name,amenity,latitude,longitude,amenityType
0,AMC Dine-In Seattle 10,cinema,47.661746,-122.318112,entertainment
1,Neptune Theatre,theatre,47.6611364,-122.3140309,entertainment
2,Landmark Varsity,cinema,47.6607102,-122.313459,entertainment
3,Triangle Parking Garage,parking_entrance,47.6503175,-122.3059485,parking
4,Shell,fuel,47.314676,-122.2831443,car_services
5,Kingston,ferry_terminal,47.7946592,-122.4948327,transportation
6,Winslow,ferry_terminal,47.6225034,-122.5094001,transportation
7,Southworth,ferry_terminal,47.5129658,-122.495877,transportation
8,Angry Mountain Trailhead,parking,46.5193963,-121.5950609,parking
9,Tatoosh South Trailhead,parking,46.6669453,-121.6381113,parking
10,,parking,46.6556811,-121.4863216,parking
11,Lily Basin Trailhead (hikers),parking,46.564429,-121.600122,parking
12,Centennial Trail Rhododendron Trailhead at Cassidy,parking,48.0453287,-122.0836837,parking
13,North Fork Sauk Falls Trailhead,parking,48.0984983,-121.3705662,parking
14,Mt. Aix Trailhead,parking,46.8141079,-121.3064702,parking
15,,parking,46.9667805,-121.092649,parking
16,Scatter Creek - NAC Trailhead,parking,46.5769203,-121.3573955,parking
17,Seattle,ferry_terminal,47.6134905,-122.35349,transportation
18,,parking_entrance,47.6299676,-122.3428882,parking
19,,parking_space,47.6489998,-122.318215,parking
20,Basil Viet Kitchen,restaurant,47.6554532,-122.313141,food
21,The Westy,pub,47.6757049,-122.3150052,food
22,,post_box,47.6788637,-122.3173393,post_box
23,Duck Island Ale House,pub,47.6823063,-122.344707,food
24,Wells Fargo,atm,47.6614907,-122.3130138,finance
25,Anderson Island,ferry_terminal,47.1785508,-122.6772626,transportation
26,King County Water Taxi Seacrest Dock,ferry_terminal,47.5894394,-122.3796059,transportation
28,McDonald's,fast_food,47.1916039,-122.433667,food
29,Yard Arm,pub,47.3960581,-122.3233033,food
30,The Lighthouse,pub,47.4019984,-122.3248177,food
31,,arts_centre,47.4736183,-122.3400208,entertainment
32,,police,47.7527293,-122.1620051,emergency
33,Arco,fuel,47.7541781,-122.165847,car_services
34,Chevron,fuel,47.7546598,-122.1594972,car_services
36,,arts_centre,47.7538238,-122.1631202,entertainment
37,Jack in the Box,fast_food,47.7536238,-122.1659276,food
38,Haggen Pharmacy,pharmacy,47.7557396,-122.1571279,healthcare
39,Red Robin,restaurant,47.7576892,-122.1556091,food
40,Big Fish Grill,restaurant,47.7546619,-122.1564079,food
41,,fire_station,47.7564327,-122.1592104,emergency
42,Taco Time,fast_food,47.75484,-122.153605,food
43,The Hollywood Tavern,pub,47.7332022,-122.1528675,food
44,Herbfarm,restaurant,47.7331995,-122.147451,food
45,Barking Frog,restaurant,47.733569,-122.1474339,food
46,Purple Cafe and Wine Bar - Woodinville,restaurant,47.7316091,-122.1420281,food
47,Heritage Restaurant|Bar,restaurant,47.7324083,-122.1409412,food
48,McDonald's,fast_food,47.752803,-122.1534168,food
49,KFC,fast_food,47.7518142,-122.153301,food
50,,place_of_worship,47.7488975,-122.152332,place_of_worship
51,,place_of_worship,47.7521489,-122.1516966,place_of_worship
52,Tokyo Japanese Steakhouse,restaurant,47.7533485,-122.1611763,food
53,Racha Thai,restaurant,47.753334,-122.1602643,food
54,Chase,bank,47.7541501,-122.1594212,finance
55,Mi Tierra,restaurant,47.7547288,-122.1605967,food
56,Bank of America,bank,47.7541172,-122.1520909,finance
57,,parking_entrance,47.6457465,-122.1212812,parking
59,,parking,47.6441776,-122.1227014,parking
60,Daman's Bar & Grill,pub,47.6325836,-122.1424275,food
61,1st Security Bank,bank,47.6322932,-122.1425728,finance
62,Taqueria Guadalajara,fast_food,47.63212,-122.1437146,food
63,Advanced Family Medicine,doctors,47.6283289,-122.139462,healthcare
64,Interlake Medical Center,doctors,47.6291041,-122.1391276,healthcare
65,Bellevue Redmond Physical Therapy Center,doctors,47.6296073,-122.13839,healthcare
66,Qualstar Credit Union,bank,47.6291156,-122.138681,finance
67,Subway,fast_food,47.6313336,-122.1403152,food
68,International Food Corner,restaurant,47.6230749,-122.1320427,food
69,Off the Rails Sport Bar,bar,47.6230633,-122.1315621,food
70,Subway,fast_food,47.6226617,-122.1320599,food
71,Westernco Donut,fast_food,47.6227281,-122.132058,food
72,Baskin-Robbins,ice_cream,47.6225994,-122.1320598,food
73,Domino's,fast_food,47.617386,-122.1279504,food
74,Ten Seconds Yunnan Rice Noodle,restaurant,47.6172615,-122.1279624,food
76,,parking_entrance,47.6580475,-122.1378128,parking
77,76,fuel,47.181311,-122.4626623,car_services
78,Silver Dollar Casino,casino,47.1802983,-122.4640317,entertainment
79,Subway,fast_food,47.1803391,-122.4627614,food
80,KFC,fast_food,47.292159,-122.3130717,food
81,Starbucks,cafe,47.6281301,-122.1411674,food
82,Edmonds,ferry_terminal,47.813366,-122.3854757,transportation
83,Mediterranean Grill,restaurant,47.6287068,-122.1350319,food
84,,fountain,47.6274602,-122.1357947,healthcare
85,Spice Route,restaurant,47.6307146,-122.1449125,food
86,Chuck E. Cheese's,restaurant,47.6304854,-122.14493,food
87,Cafe Ori,restaurant,47.6271572,-122.1489543,food
88,Sizzling Pot King,restaurant,47.6271167,-122.1510485,food
89,Thai Kitchen,restaurant,47.627246,-122.1520417,food
90,Blue Ginger,restaurant,47.6276431,-122.1524819,food
91,MonGa Cafe,cafe,47.6268807,-122.1448865,food
92,Photai,restaurant,47.6274173,-122.144297,food
93,Little Garden,restaurant,47.6276051,-122.1437896,food
94,Starbucks,cafe,47.6297257,-122.1441113,food
95,Mandarin Buffet & Grill,restaurant,47.6325808,-122.141844,food
96,Starbucks,cafe,47.6324527,-122.1405142,food
97,Nasai Teriyaki,restaurant,47.6320711,-122.1380782,food
98,Qdoba,fast_food,47.6318975,-122.1383196,food
99,Pho Hoa Noodle Soup,restaurant,47.6310884,-122.1382979,food
100,Regent Bakery & Cafe,restaurant,47.6308353,-122.1382925,food
101,The Bento Box,restaurant,47.6304398,-122.1389834,food
102,Sichuanese Cuisine,restaurant,47.6312161,-122.1403152,food
103,Yumiko's Teriyaki,restaurant,47.6312685,-122.1403178,food
104,Kabob Palace,restaurant,47.6321379,-122.1369704,food
105,Seoul Hot Pot,restaurant,47.6323693,-122.1370267,food
106,Sapporo Teriyaki,restaurant,47.6325735,-122.1370321,food
107,Pizza Hut,restaurant,47.6329586,-122.1372226,food
108,Spectrum Academy,school,47.6326283,-122.1346611,education
109,Jersey Mike's Subs,fast_food,47.6319291,-122.1367274,food
110,Teapot Vegetarian House,restaurant,47.6319326,-122.1366327,food
111,Malay Satay Hut,restaurant,47.631936,-122.1364252,food
112,Bethel Church,place_of_worship,47.4858049,-122.6324905,place_of_worship
113,Collins School,school,46.9848191,-122.7298534,education
114,Denmark School,school,46.9351269,-120.4003428,education
115,East Everett School,school,47.987319,-122.1317996,education
116,East Sunnyside School,school,48.034542,-122.1123563,education
117,Evergreen Educational Complex,school,47.5004546,-122.3451408,education
118,Gig Harbor Cemetery,grave_yard,47.351764,-122.5717963,negative_amenities
119,Graham School,school,47.0442678,-122.2867835,education
120,Harper Church,place_of_worship,47.5045419,-122.5146482,place_of_worship
121,Holy Cross School,school,47.2885762,-122.5107385,education
122,Holy Rosary Bilingual Academy,school,47.2332804,-122.4391764,education
123,Lakebay School,school,47.2662069,-122.7654116,education
124,Lakeview Chapel,place_of_worship,47.9964862,-122.0942985,place_of_worship
125,Longbranch School,school,47.2181516,-122.7595772,education
126,Naches Valley Primary School,school,46.6688987,-120.6110453,education
127,Madison Church,place_of_worship,47.6902671,-122.5216654,place_of_worship
128,Mapleleaf School,school,47.7013676,-122.2945609,education
129,Marcus Whitman School,school,46.6348477,-120.6359024,education
130,Hazel Wolf K-8,school,47.6772572,-122.3221899,education
131,McDonald School,school,47.613986,-122.5212445,education
132,Monroe School,school,47.9806515,-122.1926348,education
133,Naches Valley High School,school,46.7292913,-120.6950715,education
134,Orchard Heights Church,place_of_worship,47.5354907,-122.5895684,place_of_worship
135,Peninsula High School,school,47.3867056,-122.623342,education
136,Rich Whitman School,school,47.778986,-122.3665199,education
137,Saint Ann School,school,47.1923543,-122.4409301,education
138,Saint Anthony School,school,47.4786752,-122.2128179,education
139,Saint Dominic Convent,place_of_worship,47.9828738,-122.1934682,place_of_worship
140,Sequoia High School,school,47.9707895,-122.2123755,education
141,Stewart School,school,47.2127272,-122.4609129,education
142,Swans Trail School,school,47.9381524,-122.1576319,education
143,Tracyton Cemetery,grave_yard,47.6184281,-122.6623658,negative_amenities
144,Visitation School,school,47.2039876,-122.4798462,education
145,Forest Ridge School of the Sacred Heart,school,47.558703,-122.1545785,education
146,May Valley School,school,47.5031561,-122.1198423,education
147,Saint John School,school,47.6864503,-122.3571254,education
148,Epic Life Academy,school,47.705322,-122.3415805,education
149,Christ the King Elementary School,school,47.7135227,-122.3531952,education
150,Highland Terrace Elementary School,school,47.7456435,-122.3590799,education
151,Assumption Saint Bridget School,school,47.6745032,-122.2929699,education
153,Crest Learning Center,school,47.5718129,-122.2233143,education
154,Our Lady of Lourdes School,school,47.5110675,-122.3185365,education
155,Saint Edward Parish School,school,47.5506523,-122.2804409,education
156,Edmonds Junior High School,school,47.81438,-122.3751505,education
157,Jefferson School,school,47.9753736,-122.210413,education
158,Bremerton Christian School,school,47.5984274,-122.7084789,education
159,Kitsap Seventh Day Adventist School,school,47.5869491,-122.7185591,education
160,Longfellow Elementary School,school,47.9684293,-122.2037457,education
161,Moorlands Elementary School,school,47.7386508,-122.2309113,education
162,Georges Cemetery,grave_yard,47.261489,-122.328455,negative_amenities
163,Was Roosevelt Elementary School,school,47.9350721,-122.2144692,education
164,Tracyton Elementary School,school,47.613706,-122.6543095,education
165,Westhill Elementary School,school,47.7702978,-122.224845,education
166,South Kitsap Christian School,school,47.5240923,-122.6292595,education
167,Everett High School,school,47.9852375,-122.2093142,education
168,Holy Cross High School,school,47.9823182,-122.1929127,education
169,Everett Christian School,school,47.9874588,-122.1930205,education
170,Rainier Middle School,school,46.8863871,-122.6885882,education
171,Cedar Park Christian School,school,47.7839863,-122.3062402,education
172,Mount Pilchuck Elementary School,school,48.0148202,-122.0581867,education
173,Serene Lake Elementary School,school,47.8722243,-122.2971646,education
174,Sahalee School,school,47.8167634,-122.3234647,education
175,Stein School,school,47.8098191,-122.3304091,education
176,Brighton School,school,47.801486,-122.310408,education
177,Forest Park Seventh Day Adventist Church,place_of_worship,47.9628736,-122.2179127,place_of_worship
178,Saint Pius X School,school,47.7975971,-122.3106855,education
179,Sno-King Lutheran School,school,47.8143048,-122.3751646,education
180,Hilltop Elementary School,school,47.8123196,-122.2423507,education
181,Emerson Elementary School,school,47.9253756,-122.0845737,education
182,Cathcart Elementary School,school,47.8492648,-122.0998495,education
183,Riverview Elementary School,school,47.937875,-122.132909,education
184,Cascade View Elementary School,school,47.9398199,-122.0862409,education
185,Spanaway Christian School,school,47.0984718,-122.3830001,education
186,Naches Valley Intermediate School,school,46.7300081,-120.6939759,education
187,Naches Valley Primary School,school,46.7448478,-120.6020138,education
188,Naches Valley Middle School,school,46.7291393,-120.6970132,education
189,Learning Garden School,school,47.6319009,-122.1675029,education
190,Cedar River School of Renton,school,47.4684338,-122.1334531,education
191,Renton Christian School,school,47.482322,-122.2198439,education
192,Oak Grove School,school,47.1775978,-122.5679039,education
193,Learning Way School,school,47.520864,-122.3602026,education
194,Seattle Waldorf School - Main Campus,school,47.7016247,-122.297313,education
195,Concordia Lutheran School,school,47.6806913,-122.289107,education
196,Saint Alphonsus Preschool,kindergarten,47.6711863,-122.375351,education
197,Northwest Montessori School,school,47.6648914,-122.3535721,education
198,Sunset Intermediate School,school,47.7581002,-122.369147,education
199,King's Junior and Senior High School,school,47.768826,-122.3533338,education
200,Shoreline Christian School,school,47.7362304,-122.3030701,education
201,Hurray for Me School,school,47.7692638,-122.3709639,education
202,Parkwood Elementary School,school,47.7407265,-122.3365398,education
203,North Creek Montessori School,school,47.8199102,-122.2116814,education
204,Whole Earth Montessori School,school,47.7903807,-122.1936146,education
205,Crystal Springs Elementary School,school,47.8011586,-122.2202981,education
206,Evergreen Academy,school,47.7443756,-122.182756,education
207,Woodinville Montessori School,school,47.7479231,-122.1511002,education
208,Bjorn Lih Primary School,school,47.6648284,-122.3483808,education
209,Northwest Childrens Academy,school,47.6284814,-122.3309496,education
210,My Small Sized Friends,kindergarten,47.1906753,-122.3191714,education
211,Puget Sound Christian School,school,47.1814878,-122.4545676,education
212,Peoples Christian School,school,47.1920802,-122.413102,education
213,Gwen E Johnson School of Learning,school,47.2676883,-122.4517276,education
